TRIAL_DATE,PURCHASED_PLAN,PURCHASE_DATE,UPGRADE_PRODUCT_x,MARKETING_PROD_LVL,SALES_PROD_LVL,SERVICE_PROD_LVL,PAID_HUB,COUNTRY,LANGUAGE,SOURCE,TRIAL_HUB,ALL_ITEMS,PURCHASE_HUB,TG_PAGEVIEW,TG_INTERACTION,UPGRADE_PRODUCT_y,SEO_PAGEVIEW,SOCIAL_PAGEVIEW,LANDING_PAGEVIEW,BLOG_PAGEVIEW,WEBSITE_PAGEVIEW,CTA_PAGEVIEW,ADS_PAGEVIEW,ABTEST_PAGEVIEW,WORKFLOWS_PAGEVIEW,ANALYTICS_TOOLS_PAGEVIEW,CAMPAIGNS_PAGEVIEW,REPORT_BUILDER_PAGEVIEW,DASHBORD_PAGEVIEW,DMT_PAGEVIEW,LEARN_PAGEVIEW,DISCOVERY_COUNT,SEGMENT
2019-08-13,1,2019-08-15 17:42:51,marketing-pro,free,free,free,FALSE,United States,English,paywall-ui-workflows-paywall-trial-button-marketing-workflows-paywall,Marketing,"[
  ""Additional Contacts"",
  ""Marketing Hub Professional"",
  ""Tech Service: First-Time Template Setup"",
  ""HubSpot for Startups Setup""
 ]",Marketing,0,0,marketing-pro,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,Other
2019-08-14,,,marketing-pro,free,none,none,FALSE,Indonesia,English,forms-zero-state-trial-button-secondary-cta,Marketing,,,0,0,marketing-pro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Other
2019-08-17,,,marketing-pro,free,free,free,FALSE,India,English,paywall-ui-workflows-paywall-trial-button-marketing-workflows-paywall,Marketing,,,0,0,marketing-pro,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,Other
2019-08-19,,,marketing-pro,free,none,none,FALSE,United States,English,pricing-pages-products-plans-trial-button-merch-card-marketing-pro,Marketing,,,1,0,marketing-pro,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,Other
2019-08-19,,,marketing-pro,free,free,free,FALSE,Malaysia,English,pricing-pages-products-plans-trial-button-merch-card-marketing-pro,Marketing,,,1,1,marketing-pro,1,0,0,0,0,0,1,0,1,0,1,0,1,1,0,6,Other
2019-08-07,,,marketing-pro,free,starter,free,TRUE,Philippines,English,pricing-pages-products-plans-trial-button-merch-card-marketing-pro,Marketing,,,0,0,marketing-pro,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,4,Other
2019-08-06,,,marketing-pro,free,starter,free,TRUE,Spain,English,paywall-ui-workflows-paywall-trial-button-marketing-workflows-paywall,Marketing,,,0,0,marketing-pro,0,0,0,1,0,1,1,0,1,0,1,1,1,0,1,7,Other
2019-07-31,1,2019-08-20 18:01:43,marketing-pro,free,none,none,FALSE,United States,English,pricing-pages-products-plans-trial-button-merch-card-marketing-pro,Marketing,"[
  ""Marketing Hub Starter""
 ]",Marketing,0,0,marketing-pro,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,Other
2019-08-10,,,marketing-pro,free,free,free,FALSE,United Kingdom,English,forms-zero-state-trial-button-secondary-cta,Marketing,,,0,0,marketing-pro,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,4,Other
2019-07-31,,,marketing-pro,free,none,none,FALSE,United States,English,pricing-pages-products-plans-trial-button-merch-card-marketing-pro,Marketing,,,0,0,marketing-pro,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,Other
2019-07-31,,,marketing-pro,free,free,free,FALSE,Canada,English,pricing-pages-products-plans-trial-button-merch-card-marketing-pro,Marketing,,,0,0,marketing-pro,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,3,Other
2019-08-16,,,marketing-pro,free,none,none,FALSE,Singapore,English,learning-center-content-trial-button-content,Marketing,,,0,0,marketing-pro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Other
2019-08-01,,,marketing-pro,free,none,none,FALSE,Slovakia,English,pricing-pages-products-plans-trial-button-merch-card-marketing-pro,Marketing,,,0,0,marketing-pro,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,3,Other
2019-08-12,,,marketing-pro,free,free,none,FALSE,United Kingdom,English,paywall-ui-workflows-paywall-trial-button-marketing-workflows-paywall,Marketing,,,0,0,marketing-pro,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2,Other
2019-08-22,,,marketing-pro,free,free,free,FALSE,Armenia,English,learning-center-content-trial-button-content,Marketing,,,0,0,marketing-pro,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,Other
2019-08-08,1,2019-08-12 2:02:08,marketing-pro,free,free,free,FALSE,Mongolia,English,pricing-pages-products-plans-trial-button-merch-card-marketing-pro,Marketing,"[
  ""Marketing Hub Professional""
 ]",Marketing,0,0,marketing-pro,0,1,1,1,0,1,1,0,1,0,1,0,1,1,1,9,Other
2019-08-19,,,marketing-pro,starter,ent,starter,TRUE,United States,English,pricing-pages-products-plans-trial-button-merch-card-marketing-pro,Marketing,,,1,0,marketing-pro,1,1,1,1,0,1,1,0,1,0,1,1,1,1,0,11,Other
2019-08-11,,,marketing-pro,free,none,none,FALSE,Thailand,English,forms-zero-state-trial-button-secondary-cta,Marketing,,,0,0,marketing-pro,0,1,0,1,0,1,1,0,1,0,0,1,1,1,1,8,Other
2019-08-11,,,marketing-pro,free,free,free,FALSE,India,English,pricing-pages-products-plans-trial-button-merch-card-marketing-pro,Marketing,,,0,0,marketing-pro,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,3,Other
2019-08-07,,,marketing-pro,free,none,none,FALSE,Singapore,English,pricing-pages-products-plans-trial-button-merch-card-marketing-pro,Marketing,,,0,0,marketing-pro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Other
2019-08-16,,,marketing-pro,free,none,none,FALSE,India,English,pricing-pages-products-plans-trial-button-merch-card-marketing-pro,Marketing,,,1,0,marketing-pro,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,Other
